"comment_content","Chat luong san pham","Dong goi","Giao hang","Cham soc khach hang","Thiet ke","Gia ban","Pin","Do nhay","Phu kien","Nut power","Con lan","Ket noi","Phi ship"
"không biết có bền như M185 không, còn mới nên chưa dám quăng thử; ban đầu hơi sượng do êm quá",1,0,0,0,0,0,0,1,0,0,0,0,0
"Em không hiểu thấy ngta mở hộp trên mạng có chữ plus sao của em chẳng có",0,0,1,0,0,0,0,0,0,0,0,0,0
"mới dùng rất tốt còn sau này như thế nào thì sau một tg sử dụng mới biết đc",1,0,0,0,0,0,0,0,0,0,0,0,0
"Tiki giao hàng nhanh 2 tiếng là đã nhận được rồi. Sản phẩm của Logitech thì yên tâm về chất lượng. Chuột cầm ôm tay, hoạt động ổn định trong nhiều giờ, silent mode không có tiếng click là điểm cộng lớn. Chuột đã có sẵn pin do hãng cung cấp. Phù hợp làm việc môi trường design, cải thiện workflow cũng như thao tác nhanh bên cạnh sử dụng pad và bảng vẽ.",1,0,1,0,1,0,1,0,0,0,0,0,0
"mình mua 1 em màu xanh. hàng tốt. bấm êm.  mối nối chưa khớp. dán tem bảo hành quá ngu.",1,0,0,0,1,0,0,1,0,0,0,0,0
"Chuột nhạy và dùng rất thích. Bấm không nghe tiếng động thật, làm việc sẽ không ảnh hưởng đến người khác. Nhưng quan trọng là dùng bền thôi.",1,0,0,0,0,0,0,1,0,0,0,0,0
"Mẫu mã đẹp , bắt mắt ,chuột rất nhẹ , cầm rất êm tay .  Chuột hoạt động rất mượt , âm thanh khi click vào rất nhẹ , không gây ra tiếng động lớn .  Đó là cảm nhận ban đầu của tôi , hi vọng sau này sử dụng lâu dài. Nghe ông anh bảo nên mua chuột hãng Logitech nên quyết định mua luôn con này không ngần ngại gì , miễn chất lượng và ổng bảo xài hơn 2 năm rồi .  ^ ^  Giao hành nhanh rất nhanh nữa , mới order hôm qua là hôm nay có hàng , được cái freeship nữa nên sau này sẽ ủng hộ Tiki . Thật sự quan trọng vẫn mong sản phẩm luôn luôn đảm bảo chất lượng, uy tín và chính hãng đàng hoàng . Vì trước giờ rất ít mua hàng Online",1,0,1,0,1,0,0,1,0,0,0,0,0
"Nút bấm êm, bước đầu dùng cảm thấy tốt. Còn sau này thì chưa biết. Tạm thời cho 4 sao",0,0,0,0,0,0,0,1,0,0,0,0,0
"Tiki giao hàng 2h rất tốt. Chuột êm, nhạy. Sản phẩm được đóng gói chuyên nghiệp.",0,1,1,0,0,0,0,1,0,0,0,0,0
"Sản phẩm quá ưng ý, thiết kế đẹp hàng chính hãng, click nhẹ nhàng, chuột cầm vừa tay trọng lượng vừa đủ không gây mỏi, trước giờ mình vẫn thích nhất hàng của Logitech này :D",0,0,0,0,1,0,0,1,0,0,0,0,0
"Sp rất đẹp, gọn nhẹ, dễ sử dụng, đặc biệt màu đỏ nhìn rất chanh sả😅. Hơi phân vân khi có bạn review phần nhô ra ở tay sẽ khó thao tác so với chuột truyền thống nhưng không hề, rất ôm tay và dễ sử dụng. Nchung mới dùng dc mấy bữa thì thấy rất hài lòng.  Tuy nhiên lúc mở hộp thì thấy phần vỏ bọc bên ngoài đầy bụi bẩn như kiểu k dc lau chùi vậy. Mở ra thì chuột mới nhưng ấn tượng ban đầu nhìn vỏ bẩn bẩn hơi k dc vui. Ít nhất lúc gói hàng cũng nên lau qua chứ. Nhìn k khác gi hàng tồn kho lâu ngày bụi bẩn bám đầy😤 trừ 1*",0,1,0,0,1,0,0,1,0,0,0,0,0
"Mình mua con thứ 5 cho anh chị trong cơ quan dùng rồi. Ai cũng đánh giá tốt và rất thích",1,0,0,0,0,0,0,0,0,0,0,0,0
"Đặt mua và thanh toán lần đầu qua zalopay nên tổng cộng được giảm 145.000 + giao hàng nhanh 2h nữa nên chỉ sau 2 tiếng là nhận được.",0,0,1,0,0,0,0,0,0,0,0,0,0
"Về Tiki: Mua hàng trên Tiki thì luôn an tâm ở 1 điểm là hàng chính hãng, chất lượng sản phẩm luôn đảm bảo.  Về sản phẩm:  1. Phần cứng: Cảm giác cầm vừa tay lái chắc chắn, tốc độ cao, rẽ trái phải mềm mượt, êm ái.  2. Phần mềm: Đợi hết bảo hành sẽ tiến hành mổ khám nghiệm. :D",1,0,0,0,1,0,0,1,0,0,0,0,0
"màu xanh đẹp tuyệt vời. thanks tiki trading tuy nhiên mình có chút góp ý là series của chuột không khớp với series trên hộp. còn lại về sản phẩm thì rất tuyệt.nút bấm êm không tiếng động mình rất thích",0,0,1,0,1,0,0,1,0,0,0,0,0
"Tuyệt vời chỉ là bốc seal trước thồi mà ok chứ bộ Hdhdhdhdhhdhfhfhdhfhdhdhdhhfhfhfhf",0,0,0,0,0,0,0,0,0,0,0,0,0
"Mình mua 2 sản phẩm (đỏ và đen) nhưng 2 lần mua đều không có đầu usb kết nối-có thể kiểm tra dùm mình không?",0,0,0,0,1,0,0,0,0,0,0,0,0
"Luôn tin tường chọn Logitech, chuột rất êm, con lắn hơi thô",1,0,0,0,1,0,0,1,0,0,0,0,0
"Tiki giao hàng nhanh, gói cẩn thận. Sản phẩm như hình, đặc biệt không có tiếng ồn, bấm rất nhẹ tay",0,1,1,0,0,0,0,1,0,0,0,0,0
"Hàng chính hãng, giao hàng nhanh, tiki gói hàng cẩn thận, sẽ ủng hộ mua hàng trên Tiki",1,1,1,0,0,0,0,0,0,0,0,0,0
"Hàng tốt, chính hãng, click chuột em ko có tiếng nhưng con lăn thì không được thích lắm.",1,0,0,0,1,0,0,0,0,0,1,0,0
"Sản phầm này rất đáng mua. Phù hợp với số tiền bỏ ra. Con cuộn chắc chắn.",1,0,0,0,0,0,0,0,0,0,1,0,0
"chuột đẹp, xài ổn, tiki giao hàng đúng hẹn, mình rất thích",0,0,1,0,1,0,0,0,0,0,0,0,0
"Thích cực kì, lần đầu tiên sử dụng chuột bấm mà không còn kêu *cạch cạch* sướng tay phết. Hơi buồn chút là canh sale mà bị hụt. Suýt nữa thì được mua sale chỉ còn 239k :((",0,0,0,0,0,1,0,0,0,0,0,0,0
"chuột đẹp . sử dụng ổn định. nhưng chơi game chưa thật sự mượt. best trong tầm giá",1,0,0,0,1,0,0,1,0,0,0,0,0
"Hoa văn hai bên thân chuột dễ bám bẩn và rất khó vệ sinh, chỗ này cũng bị bong ra sau một thời gian sử dụng",0,0,0,0,1,0,0,0,0,0,0,0,0
"Giao hang nhanh chóng, đóng gói bao bì cẩn thận. Mình đã sử dụng hơn 1 tuần, cảm giác đầu tiên là cầm rất đầm tay, chất liệu tốt. Rất nhạy, và click êm, hỗ trợ công việc hiệu quả hơn.",1,1,1,0,1,0,0,1,0,0,0,0,0
"Đây là lần thứ 2 mua hàng công nghệ trên Tiki , vẫn là rất hài lòng , chuột đẹp , mới , click rất êm đúng như quảng cáo ( tuy nhiên khi nhận hàng thì thấy hộp giấy có đường rọc , và bên trong hộp chuột cũng như ai đã tháo sẵn , trừ 1 sao vì điều này ) . Màu nào cũng rất đẹp , chọn mua màu đen cho sạch .",1,1,0,0,1,0,0,1,0,0,0,0,0
"Đẹp, không quá nhỏ, cầm đằm rất vừa tay. khuyên mọi người nên mua chuột Logitech, đáng đồng tiền. Cám ơn tiki",0,0,0,0,1,0,0,0,0,0,0,0,0
"Đây đã là con M331 thứ 4 mình mua. Khá hài lòng về giá thành cũng như chất lượng sản phẩm.",1,0,0,0,0,1,0,0,0,0,0,0,0
"Chuột thì dùng ok, lướt rất êm, click nghe tiếng rất nhỏ mà vẫn giữ được cảm giác click như chuột bình thường. Tuy nhiên dưới đế chuột mình thấy bị xước khá nhiều, mình nghĩ là do kĩ thuật ngta lấy ra test trước khi gửi cho khách nhưng chắc test không cẩn thận nên bị xước khá nhiều, nhìn hơi khó chịu nhưng tạm bỏ qua cho 5 sao.",1,0,0,0,0,0,0,1,0,0,0,0,0
"Ưu điểm : - Mua trong đợt giảm giá nên đc giá tốt - Click êm, màu sắc hài hòa - Pin theo chuột lâu hết  Nhược điểm : - Dùng lâu hơi tê tay. - Con lăn chưa đc êm lắm",0,0,0,0,1,1,1,1,0,0,1,0,0
"Sản phẩm tốt, giao hàng sớm hơn dự kiến 1 ngày. Bấm rất êm, ưu điểm là dù ko silent nhưng cảm giác bấm tốt, wheel cũng tốt, độ nặng đủ để đằm tay. Nhược điểm là kích thước chuột hơi nhỏ so với tay mình. Hài lòng với sản phẩm.",1,0,0,0,1,0,0,1,0,0,0,0,0
"Chuột vừa tay, nhạy, bấm rất êm lại không phát ra tiếng click. Dùng được một thời gian rồi nhưng chưa thấy phát sinh vấn đề gì. Sản phẩm tốt.",0,0,0,0,1,0,0,1,0,0,0,0,0
"Chuột nhạy, im lặng hơn loại M221, form ôm tay, phù hợp tay nữ hơn nam giới. Check mã trên website chính hãng đúng hàng real. S/N ngoài vỏ hộp và trong chuột khác nhau, nhưng hãng có giải thích là chuyện bình thường. Check mã hộp không đúng nhưng mã trong chuột chính hãng. Tiki giao hàng rất nhanh (hẹn T2 nhưng giao vào sáng T6). Cuối cùng, chuột Logitech cực kỳ đẹp luôn",0,0,1,0,1,0,0,1,0,0,0,0,0
"Mua về đang dùng được mấy ngày thấy okay, nhưng sao trên web là silent plus mà trên hộp không có chữ plus.",1,0,1,0,0,0,0,0,0,0,0,0,0
"Chuột này thuộc dòng silent nên bấm rất êm, cảm giác hơi lạ so với chuột thường bấm kêu tạch tạch nhưng kết quả như nhau. Mình đặt hàng tối thứ 2, sáng thứ 4 giao. Hàng đóng gói nguyên bản (có xé ra 1 ít dán tem), cho vào trong túi bóng xốp, lót bởi 2 miếng xốp trên dưới rồi cho vào hộp. Đóng gói tốt, không lọc xọc. Giao hàng thế là nhanh. Giá thì so với shop rẻ hơn.",0,1,1,0,0,0,0,0,0,0,0,0,0
"chuột đi kèm luôn với pin. được test trước khi giao nên vỏ hộp sẽ được bung ra trước nhưng vấn đề này ok, mình thấy an tâm hơn khi các bạn test trước. ngoại hình chuột đẹp, nhựa đẹp. Cầm chắc tay, không bị cảm giác lọt thỏm vì nhỏ (tay mình cũng hơi bự) . click êm ko bị nghe tiếng tik tik, tránh làm phiền người khác.",0,0,0,0,1,0,1,1,0,0,0,0,0
"trước có dùng một số chuột của các hãng nhưng đây là chuột tốt nhất mình từng dùng. click không nghe tiếng phù hợp công việc.",1,0,0,0,0,0,0,0,0,0,0,0,0
"1/ Bao bì bị dán băng keo vì vỏ sản phẩm bị xé phân nữa. 2/ phím bấm chuột bị lệch. Tôi nghĩ đây hàng bị trả lại và tiki vẫn cố tình dán lại và bán như không có gì xảy ra. Tôi cần trả lời bên tiki về trường hợp này.",1,0,1,0,0,0,0,0,0,0,0,0,0
"Vừa nhận sản phẩm, chất lượng chưa biết sao nhưng thấy không ổn: 1. Bao bì bị rách; 2. Số seri trên hộp, chuột, Bộ thu (receiver) không giống nhau; 3. chuột bị trầy xước; 4. cảm giác không phải hàng mới. 5. Cái logo  logitech  trên bộ thu(receiver) không giống bản trên trang chủ p/s dù chất lượng thế nào nhưng thấy ban đầu là bực mình, chán...",1,0,1,0,0,0,0,0,0,0,0,0,0
"Logitech làm chất lượng ko đồng đều. Con 331 đợt này này mua con lăn xài ồn ghê, ko êm như 2 con trước từng mua. Cái con này chả hiểu sao cứ xài tầm 3-4 tháng là con lăn bị hư.",1,0,0,0,0,0,0,0,0,0,1,0,0
"Mình đặt mua 1 chuột không dây màu đỏ có kèm dịch vụ 2h. 15p sau khi đặt đã nhận được sản phẩm. Sản phẩm đang dùng.Thấy oke. chưa có lỗi gì.",1,0,1,0,0,0,0,0,0,0,0,0,0
"Chuột mới mua bị trầy xước ở phần đế màu đen bên dưới",1,0,0,0,0,0,0,0,0,0,0,0,0
"Con chuột giá dưới 300k êm nhất mà mình từng sử dụng. Cầm cũng thoải mái, ko bị quá nhỏ. Dùng ok với MacOS. Sale giá này quá hợp lý luôn. Tiki giao hàng nhanh và đóng gói cẩn thận.",1,1,1,0,1,1,0,0,0,0,0,0,0
"Lúc giao hàng thì mình thấy phím chuột phải bị vênh, phải dùng tay nhấn mạnh xuống kêu cái tạch :(. Chuột êm chạy tốt trên windows 10, nhưng hơi lag trên macpro 2017. Không biết do dpi thấp hay sao (1000), nên thôi dùng làm chuột trên Cty vậy, kiếm con khác cho macbook.",1,0,0,0,0,0,0,0,0,0,0,0,0
"Chuột vừa tay, sử dụng tốt. Tiki đóng gói cẩn thận với thùng đựng và xốp chèn quanh. Giá cả phải chăng.",1,1,0,0,1,1,0,0,0,0,0,0,0
"Sản phẩm đẹp. Bao bì đóng gói cẩn thận. Sài khoản tuần nay thấy êm tay. Nút click êm, nhẹ nên nhiều khi chưa quen hay bấm nhầm. :)",0,0,0,0,1,0,0,1,0,0,0,0,0
"Sản phẩm tốt, bấm nhẹ và êm. Đẹp Dùng rất tốt cho những công việc văn phòng, chơi game thì tạm được",1,0,0,0,1,0,0,0,0,0,0,0,0
"chuột click êm, pin dùng lâu, cảm thấy hết sức hài lòng mỗi khi mua dc lúc sale",0,0,0,0,0,0,1,1,0,0,0,0,0
"Chuột chắc chắn,đầm tay😊 Dùng buổi tối không có tiếng click chuột luôn!",0,0,0,0,1,0,0,0,0,0,0,0,0
"khi nhận sản phẩm đã phát hiện ra sản phẩm đã bị khui từ trước và có vết dán băng dính dán lại. Giật mình thì mình mới check lại số seri thì phát hiện số seri trên con chuột ko trùng với số seri ghi trên vỏ hộp. Sau đó có chụp lại hình như ảnh. Có gọi điện cho hotline của tiki và hỏi về vấn đề và đc nhân viên của shop trả lời rằng: - Logitech Việt Nam chưa lưu data (số seri của sản phẩm) để check lại. Và có nói là có email trả lời về sự việc này, nhưng nội dung email chả liên quan gì đến vấn đề về số seri ko trùng nhau này cả. THẤY VÔ LÝ!!! - Nhân viện cũng trả lời lý lẽ rằng: Sự khác biệt về số seri như vậy là bình thường các sản phẩm khác của logitech cũng giống vậy. Nhân viên shop đảm bảo 100% là hàng chính hãng! OK hàng có thể chính hãng nhưng ko còn là sản phẩm mới, có thể bị thay thế hay sữa chữa, người mua có thể ko biết dc! Vậy thì shop lấy gì ra đảm bảo??!  1. Phê bình dịch vụ: - Giao hàng trễ: đặt hàng 23/2/2018 đến 4/3/2018 mới nhận dc. có gọi hotline 3 lần, 2 lần ko thấy ai nghe máy. lần thứ 3 mới dc phản hồi. - Sản phẩm có số seri ko trùng với seri ghi trên bao bì sp. Vì bất kì lý do gì cũng nên check và đổi lại cho khách hàng. Chứ ko phải bắt KH nhận sp đã bị khui hộp và ko trùng số seri  HÃY CẨN THẬN KHI MUA HÀNG TẠI   NPP IT Chính Hãng",1,0,1,1,0,0,0,0,0,0,0,0,0
"Mình đã dùng sản phẩm này đến đây cũng tầm 2 tháng, mình dùng màu đỏ, lúc đầu đọc review thấy bảo là bị dễ dơ, nhưng mình thấy không như vậy, có dơ 1 tí tẹo nhưng phải để ý kỹ mới thấy (mình ko phải dạng xài kỹ, hay mang theo lung tung khắp nơi).   Ưu điểm:  1. Chuột cầm ôm tay, dùng lâu không bị mỏi, bánh xe to, lăn đã, có đèn báo pin kiêm báo nguồn, nếu kỹ hơn có thể cài app trên laptop để theo dõi pin cũng như thay chức năng các nút bấm.  2. Về độ ồn thì khỏi nói rồi, cực kỳ im lặng và nút bấm thì êm ru gà rù, cảm giác lần đầu bấm em nó phải nói là phê :)).  3. Có cục Unify cho nên nếu có mua thêm bàn phím không dây Unify thì có thể tích hợp chung 1 cục tín hiệu, gọn gàng, dễ thương :)).  4. Có chức năng auto sleep + công tắc nguồn phía dưới.  5. Chuột quang nhưng không có đèn ở dưới, không bị sáng.   Nhược điểm: 1. báo pin ko chuẩn. Mình dùng 1 tháng rưỡi thì báo gần hết pin, tuy nhiên mình dùng đến nay thêm nửa tháng rồi vẫn chưa hết.  2. Bánh xe có hiện tượng ko nhạy trong khoảng 1 giây, tuy nhiên rất hiếm khi xảy ra, 1 tuần chắc bị 1 2 lần gì thôi, không ảnh hưởng gì đến công việc (mình dùng văn phòng).   Nói chung là mình cực kỳ hài lòng con chuột này",0,0,0,0,1,0,0,1,0,1,1,0,0
"Chuột sử dụng khá nhạy và êm, có sẵn pin để sử dụng luôn.  Tiki giao hàng khá nhanh, mình đặt chiều hôm trước mà sáng sớm hôm sau đã nhận được hàng. Đó là lý do tại sao mình hay đặt mua hàng ở Tiki.",0,0,1,0,0,0,1,1,0,0,0,0,0
"Chuột khá nhạy, không nghe tiếng click. Nhưng khá bực bội vì Tiki giao sản phẩm đã bị khui sẵn (không biết có phải để kiểm tra hay là sản phẩm ai đó trả lại và Tiki giao qua mình) và cục pin có sẵn trong chuột cũng bị cạn rồi nên ban đầu không test chuột được, phải đi kiếm pin khác bỏ vô. Cảm thấy phiền!",0,0,0,0,0,0,1,1,0,0,0,0,0
"Sản phẩm thiết kế đẹp, bấm êm không có tiếng động, thao tác mượt mà",0,0,0,0,1,0,0,1,0,0,0,0,0
"Mới sử dụng mọi thứ đều ổn..! Chuột nhạy cảm biến laser nên ko có đèn sáng bên dưới..! Hy vọng con lăn ở giữa sẽ bền ..! Tiki giao hàng nhanh và cẩn thận..!",1,0,0,0,0,0,0,1,0,0,1,0,0
"Canh mãi mới có màu đen, trước đây đã mua đỡ M221 dùng rất ưng ý. Đến lúc nhận M331 càng vui hơn, đẹp, sang, vừa tay vô cùng. Đặc biệt rất đúng với tên gọi, silent vô cùng (tai mình khá nhạy âm thanh, vẫn nghe tiếng click nhỏ xíunhưng đỡ hơn các dòng khác rất nhiều). Tóm lại, ưng ý, thành fan logitech roài. Mà tiki giao hàng rất nhanh, đóng gói kỹ. ^^",0,1,1,0,1,0,0,0,0,0,0,0,0
"dán tem thật đáng thất vọng, dán như vậy thì khi mình vừa dùng 1 lúc đã gãy tem coi như mất bảo hành dù vừa nhận lúc trưa ngày 4/12",0,0,0,0,0,0,0,0,0,0,0,0,0
"chuột cầm chắc tay, to vừa, click chuột nhẹ tay và hau nhu không có âm thanh,con lan giua cung tot. voi gia nay thi qua tot..",0,0,0,0,1,1,0,1,0,0,1,0,0
"không check serial trên trang chủ logitech được!? admin kiểm tra lại thông tin hàng giúp!",0,0,0,0,0,0,0,0,0,0,0,0,0
"Kết nối tốt, di chuyển mượt mà. Thiết kế chuột cũng rất hiện đại đẹp mắt, ôm theo chiều tay cầm. Nói chung không có gì để chê. Tiki giao hàng nhanh, gói hàng cẩn thận.",0,1,1,0,1,0,0,1,0,0,0,0,0
"Chuột đẹp, hoàn thiện tốt. Click không hề có tiếng. Lúc đầu thấy chưa quen, hơi khó chịu, nhưng chừng 15ph là quen rồi. Nút lăn chuột mềm, dễ cuộn. Trọng lượng, kích thước vừa tay mình. Ngon.",1,0,0,0,1,0,0,0,0,0,1,0,0
"Chuột vừa tay, nhấn rất êm. Rất phù hợp trong tầm giá.  Tiki bọc hàng rất cẩn thận, giao hàng đúng hẹn. Rất hài lòng :)",0,1,1,0,1,1,0,0,0,0,0,0,0
"Chuột nhạy, nhấp êm, mình xài được 1 tháng rồi, tạm thời thì rất ổn.",1,0,0,0,0,0,0,1,0,0,0,0,0
"Vừa nhận xong tức thì, đặt đơn hàng giao 2h nhưng 30p đã nhận được hàng. Tiki quá nhanh quá nguy hiểm.  Chuột siêu êm, click k nghe tiếng đúng cái tên Silent Plus. Thank you Tiki.",0,0,1,0,0,0,0,0,0,0,0,0,0
