"comment_content","Giao hang","Dong goi","Gia ban","Thiet ke","Chat luong san pham","Cham soc khach hang","Do nhay"
"giao hàng hơi chậm tuy nhiên đóng gói hàng cẩn thận chuột dùng tốt nhạy trước nay luôn tin dùng chuột của logi",1.0,1.0,0.0,0.0,1.0,0.0,1.0
"vừa test thử thì rất ưng chuột cầm chắc tay nhạy nhưng cho mình hỏi chế độ bảo hành ntn với ạ mình thấy ghi là bảo hành dựa vào số serial thế nếu bị hỏng thì mình liên lạc với ai đc và cách bảo hành là ntn",0.0,0.0,0.0,1.0,1.0,0.0,0.0
"chuột dùng ngon bấm sướng logitech tốt là miễn bàn ",0.0,0.0,0.0,0.0,1.0,0.0,1.0
"shop phục vụ khá tốt   giống mẫu",0.0,0.0,0.0,0.0,1.0,1.0,0.0
"sản phẩm chính hãng chất lượng tốt giá hợp lý giao hàng nhanh",1.0,0.0,1.0,0.0,1.0,0.0,0.0
"chuột về dùng không đi chuyển được lúc di được lúc không không hài lòng san phẩm lắm",0.0,0.0,0.0,0.0,1.0,0.0,1.0
"chất lượng sản phẩm xuất sắc shop phục vụ cực kỳ nhiệt tình đóng gói hàng rất kỹ và chắc chắn   sản phẩm tot hai long  sao",0.0,1.0,0.0,0.0,1.0,1.0,0.0
"tiki đóng gói hàng hóa rất tốt sản phẩm mới toanh và giao rất nhanh mình đã xài qua hai con chuột cao cấp của logitech rồi cảm giác là vô cùng hài lòng với sản phẩm logitech ban đầu có cảm giác hơi to nặng nhưng dùng quen sẽ thoải mái và không mỏi tay chuột rất nhiều tính năng hỗ trợ người dùng rất nhiều thao tác trên máy tính  có một điều rất không hài lòng ở sản phẩm này đó là mỗi lần đi cafe thì rất sợ bị mất",1.0,1.0,0.0,1.0,1.0,0.0,0.0
"mình cần mua gấp để đi làm nên đã chọn giao hàng h tiki giao rất nhanh và thậm chí còn giao vào chủ nhật bạn giao hàng rất thân thiện và lịch sự  chuột khá giống trong ảnh trừ màu sắc có vẻ sáng hơn một chút mình tưởng xanh đen mà hoá ra tím  có sẵn  cục pin có nút onoff để tắt chuột khi không dùng chuột nhạy và dùng mượt  điểm trừ nho nhỏ là chỗ để cổng usb ngay cạnh pin nên mỗi lần muốn lấy là phải tháo pin ra rồi mới lấy được hơi bất tiện",1.0,0.0,0.0,0.0,1.0,0.0,1.0
"đóng gói hàng cẩn thận chắc chắn   san phâm dung đươc phim hơi cưng hơn chuôt logitech chut nhưng chăc dung  thơi gian se quen so vơi gia thi như vây la tôt chi chưa biêt đô bên ntn",0.0,1.0,1.0,0.0,1.0,0.0,1.0
"đặt màu đỏ  giao màu đen  chưa dùng thử  nhg đẹp và rẻ ",1.0,0.0,1.0,1.0,0.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   hàng xài ok rất nhạy",0.0,1.0,0.0,0.0,1.0,1.0,0.0
"tốt màu sắc vấn còn tốt sau vài tháng sử dụng tốt màu sắc vấn còn tốt sau vài tháng sử dụng tốt màu sắc vấn còn tốt sau vài tháng sử dụng",0.0,0.0,0.0,1.0,1.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   hàng chất lượng phù hợp với túi tiền",0.0,0.0,1.0,0.0,1.0,1.0,0.0
"mình đã nhận hàng trong vòng h chuột đẹp nhạy thiết kế trẻ trung tuy nhiên hơi nhỏ chỉ phù hợp với phụ nữ",1.0,0.0,0.0,1.0,0.0,0.0,0.0
"chuột hơi nhỏ nhựa chất lượng tốt không bám vân tay switch bấm nhẹ đèn rgb sáng tóm lại là tốt trong tầm giá k",0.0,0.0,1.0,1.0,0.0,0.0,1.0
"sản phẩm giao hàng nhanh  đặt  nhận bao gói cẩn thận hàng new và sử dụng vừa kích cỡ tay",1.0,1.0,0.0,1.0,1.0,0.0,0.0
"sản phẩm giống mô tả chất lượng sản phẩm khá tốt đóng gói hàng cẩn thận chắc chắn   ",0.0,1.0,0.0,0.0,1.0,0.0,0.0
"chuột nhạy click êm và không ồn thời lượng pin lâu có thể tùy chỉnh các nút bằng phần mềm logitech option nên khá tiện điểm trừ lớn là ở con lăn lỏng lẻo và rất nhạy mình đụng nhẹ chưa kịp làm gì là nó lăn rồi nên hơi bực  tính ra không cần nhiều nút thì mua logitech m rẻ và ngon hơn",0.0,0.0,1.0,1.0,0.0,0.0,1.0
"sản phẩm giống mô tả và tốt hơn mong đợi đóng gói hàng rất kỹ và chắc chắn   ",0.0,1.0,0.0,0.0,1.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi   đóng gói sơ sài sản phẩm chất lượng tốt",0.0,1.0,0.0,0.0,1.0,0.0,0.0
"đặt con màu xanh s giao con màu đen v",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"chuột nhận tín hiệu ổn định dù sai qua bluetooth  tay mình hơi nhỏ nên xài chưa quen lắm tiki giao hàng nhanh quá d",1.0,0.0,0.0,0.0,0.0,0.0,1.0
"mới nhận được hàng hôm nayđóng gói chuột cẩn thậnchuột chất lượng như mong đợi rất tốtlại được giảm hẳn k khi nhập mã chungketcó điều mình note trước khi gọi nhưng bạn giao hàng đến nơi rồi mới gọi",1.0,0.0,0.0,0.0,1.0,0.0,0.0
"ban co ma thu tien  nhan vien tham tien qua",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"giao hàng khá nhanh chuột biij  vết nhám bằng ngón tay trỏ giống bị va quyệt pad hơi bong mép viền",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"đóng gói hàng rất kỹ và chắc chắn   fast delivery",1.0,1.0,0.0,0.0,0.0,0.0,0.0
"sản phẩm nguyên seal có tem nhập khẩu chất lượng tốt độ bền thì chưa kiểm chứng được do mới xài quá tốt so với giá",0.0,0.0,1.0,0.0,1.0,0.0,0.0
"giao hàng nhanhđóng gói cẩn thận sản phẩm cũng tốt",1.0,1.0,0.0,0.0,1.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   hang dong goi dep",0.0,1.0,0.0,0.0,1.0,0.0,0.0
"chuột trái bấm ít nhạy",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"sản phẩm nguyên seal  giao hàng nhanh  tem dán ngoài box nên ko ảnh hưởng sản phẩm",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi   shop nhiệt tình và uy tính",0.0,0.0,0.0,0.0,1.0,1.0,0.0
"tốt trong tầm giá  chuột mini thich hợp it dùng  vì hơi nhỏ lọt trong lòng bàn tay",0.0,0.0,1.0,1.0,0.0,0.0,0.0
"giao muộn một ngày nhưng hàng mới tốt mẫu mã đẹp  hài lòng",1.0,0.0,0.0,1.0,1.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   ok sp giống mô tảokđóng hàng ok phục vụ ok",0.0,1.0,0.0,0.0,1.0,1.0,0.0
"đặt chuột q màu hồng giao q màu đen chỉ  sử dụng được trên nền trắng hoặc đen",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"mình mua  em màu xanh hàng tốt bấm êm  mối nối chưa khớp dán tem bảo hành quá ngu",0.0,0.0,0.0,1.0,1.0,0.0,1.0
"hàng đóng gói cẩn thận mới sử dụng được gần  tuần thấy chất lượng ok lâu dài chưa biết độ bền sao nhưng ổn trong tầm giá",0.0,1.0,1.0,0.0,1.0,0.0,0.0
"không check serial trên trang chủ logitech được admin kiểm tra lại thông tin hàng giúp",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"đẹp  dùng đầm tay  có bảo hành nên không còn lo về hỏng hóc j nữa",0.0,0.0,0.0,1.0,0.0,0.0,0.0
"hộp đóng gói đẹp chuột xài tốt khá vừa tay tùy chỉnh nhiều màu",0.0,1.0,0.0,0.0,1.0,0.0,0.0
"sản phẩm rất tốt chuột bấm rất nhạy",0.0,0.0,0.0,0.0,1.0,0.0,1.0
"sản phẩm tương đối giống mô tả chất lượng sản phẩm tương đối tốt đóng gói hàng cẩn thận   ",0.0,1.0,0.0,0.0,1.0,0.0,0.0
"hài lòng chuột nhạy nút bấm nhẹ nhàng không gây ra tiếng động đúng như hãng mô tả",0.0,0.0,0.0,0.0,1.0,0.0,1.0
"đóng gói kĩ dùng thử thì ok",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"sản phẩm nhận được không đúng với hình ảnh mô tả của shop",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"hàng giao nhanh xài mượt và khá tiện còn được tặng thêm bàn di chuột quá ổn",1.0,0.0,0.0,0.0,1.0,0.0,1.0
"chuột êm hơi nặng không phát ra ánh sáng rất nhạy bén",0.0,0.0,0.0,0.0,1.0,0.0,1.0
"hàng nhận rồi nhưng khong phải chuột mà là một hộp pin aaa  đề nghị shop xem lại",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   ",0.0,1.0,0.0,0.0,0.0,1.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   tốt lắm cám ơn shop",0.0,1.0,0.0,0.0,1.0,1.0,0.0
"đóng gói hàng rất kỹ và chắc chắn   ok dóng gói chuẩn giao hang nhanh",1.0,1.0,0.0,0.0,1.0,0.0,0.0
"chuột chắc chắnđầm tay dùng buổi tối không có tiếng click chuột luôn",0.0,0.0,0.0,1.0,0.0,0.0,0.0
"nhận chuột hơn  tuần giao hàng rất nhanh chuột nên cài thêm ứng dụng logitech options để cài đặt phím macro cho chuột ấn chuột êm rất thích hạn chế là kết nối bluetooth hơi kém  có nhiều cách để khắc phục  còn lại rất tuyệt vs tôi",1.0,0.0,0.0,0.0,1.0,0.0,1.0
"chuột  k  có  nút  on off  dán  đè tem  lên  tệ thiệt",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"chuột cầm vừa tay sử dụng ổn nhỏ hơn một chút so với con microsoft ie a mình vẫn hay dùng tuy nhiên như vậy lại vừa tay hơn nút backforward phía bên trái sử dụng mềm chuột này chỉ dùng cho người thuận tay phải có  mức điều chỉnh dpi và có thể thay đổi bằng cách tải phần mềm của hãng về đèn led thay đổi liên tục nhìn khá thích mắt tuy nhiên có thể một vài người không thích vì hơi màu mè",0.0,0.0,0.0,1.0,0.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi đóng gói hàng rất kỹ và chắc chắn   hàng chất lượng chuột bấm êm đúng như mong đợi",0.0,1.0,0.0,0.0,1.0,0.0,0.0
"rất hài lòng với chuột logitech này kế nối nhanh được  máy rất tiện lợi  sử dụng tốt trên mọi bề mặt",0.0,0.0,0.0,1.0,1.0,0.0,1.0
"con chuột rất chảnh cún  dể miếng lót chuột giấy tập sách giáo khoa lót vẫn ko nhạy  ẻm chỉ tọa lên cái tab samsung  thấy ghê chưa",0.0,0.0,0.0,0.0,1.0,0.0,1.0
" độ chính xác cao kết nối bluetooth trên macos rất tốt nhỏ gọn ôm tay  scroll hơi nhẹ và nhậy quá giao hàng chậm số seri không khớp với vỏ hộp",1.0,0.0,0.0,0.0,1.0,0.0,1.0
"bàn phím nhẹ đẹp các nút phím cũng mềm dễ bấm các rãnh khe nút to giúp chống nước màu sắc bắt mắt con chuột thì lâu có đơ  chút gỡ ra gắn lại thì hết giao hàng khá nhanh đóng gói cẩn thận chắc chắn",1.0,1.0,0.0,1.0,0.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   chuột đẹp rất chuẩn  chuột rất nhạy và êm",0.0,1.0,0.0,0.0,1.0,1.0,1.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   sản phẩm sài rất ok gửi hàng nhanh đáng nể shop rất nhiệt tình thank you",1.0,1.0,0.0,0.0,1.0,1.0,0.0
"đóng gói hàng rất kỹ và chắc chắn   sản phẩm rất ok",0.0,1.0,0.0,0.0,1.0,0.0,0.0
"đóng gói hàng cẩn thận chắc chắn   tốt",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"sản phẩm tốt shop rất uy tính",0.0,0.0,0.0,0.0,1.0,1.0,0.0
"tôi rất hài lòng với  chất lượng sản phẩm  giao hàng nhanh gọn",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"sản phẩm hoàn toàn khác mô tả   tôi đặt chuột không dây dell màu đỏ mà shop giao chuột asus màu đen",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"mình mua mẫu gấu trúc hàng y hệt hình rất đẹp và ưng ý cầm rất vừa tay do cũng ít dùng nên chưa nhận xét được là có chất lượng hay ko",0.0,0.0,0.0,1.0,1.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi đóng gói hàng rất kỹ và chắc chắn   hàng đẹp giá tốt",0.0,1.0,0.0,0.0,1.0,0.0,0.0
"thiết kế vừa tay nhưng sử dụng lâu khoảng  phút thì chuột bắt đầu bị loạn sử dụng không được phải reset lại cả trên macos và windows đều bị mình mất hộp sản phẩm rồi nên không đổi trả đượcdạo các comment thì cũng có vài người bị lỗi giống mình",0.0,0.0,0.0,1.0,0.0,0.0,0.0
"siêu đẹp siêu mềm để tay cà chuột rất thích giá lại hợp lý nữa chứ bền hay k thì phải xài thời gian mới biết nhưng tạm cho  vì tiki giao hành quá nhanh quá nguy hiểm ",1.0,0.0,1.0,1.0,1.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   rất tốt giá lại rẻ",0.0,1.0,1.0,0.0,1.0,1.0,0.0
"hài lòng về giao hàng rất nhanh sản phẩm giống trong hình",1.0,0.0,0.0,0.0,1.0,0.0,0.0
"sản phẩm dùng rất thích giao hàng nhanh mỗi tội mình order  cái mới mấy hôm trước giá k mỗi cái tổng đơn k xong hôm nay lại hạ giá còn k mỗi cái chỉ cảm thấy hơi hài",1.0,0.0,1.0,0.0,1.0,0.0,0.0
"chuột vừa có bluetooth vừa có receiver truyền thống rất tiện kết nối rất nhanh vừa mở máy là chuột nhận đc liền các bạn tải app logitech options trên window để tùy biến các phím chức năng có thể cài chức năng từng phím với từng ứng dụng riêng biệt phím con lăn bên trái thì dễ gạt qua nhưng bên phải thì ko thuận tay lắm con lăn khá trơn so với con lăn trên chuột m",0.0,0.0,0.0,0.0,0.0,0.0,1.0
"giá cả phải chăng chuột cầm vừa tay nhiều nút chức năng thuận tiện khi lướt web hoặc chơi game mới dùng nên chưa thấy lỗi gì",0.0,0.0,1.0,1.0,0.0,0.0,0.0
"giao hàng giống hình led rgb rất đẹp có thể chỉnh led nháy theo nhạc",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"khach hang chua nhan dc hang ma da bao giao hang cho khach hang la sao",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"mua chuôt không dây lai giao tai phone nghe nhac trung quôc",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"hàng hơi khác hình mẫu nhưng chắc dùng tốt mỗi tội đóng gói hàng chưa kỹ lắm",0.0,1.0,0.0,0.0,1.0,0.0,0.0
"sản phẩm đóng gói cẩn thận giao nhanh chất lượng bền bỉ tuyệt",1.0,1.0,0.0,0.0,1.0,0.0,0.0
"mình mua đểdùng trong văn phỏng chủ yếu để rà rà chuột không có try hard như chơi với giá tiền k thì rất hài lòng",0.0,0.0,1.0,0.0,0.0,0.0,0.0
"giao hang nhanh chóng đóng gói bao bì cẩn thận mình đã sử dụng hơn  tuần cảm giác đầu tiên là cầm rất đầm tay chất liệu tốt rất nhạy và click êm hỗ trợ công việc hiệu quả hơn",1.0,1.0,0.0,1.0,1.0,0.0,1.0
"chuột dùng tốt nhạy cầm rất thoải mái phần mềm dễ dùng",0.0,0.0,0.0,0.0,1.0,0.0,1.0
"mới đặt sàng hôm trước sáng hôm sau đã có rồi tiki quá tuyệt vời mình ở mãi thành phố nam định chứ",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"pin cực tốt đóng gói tốt chỉ có cái quà tặng kèm khi chọn mua chuột nói là có mới chọn mua xong rồi chẳng thấy gửi quà gì luôn quà tặng kèm của tôi đâu ",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   good nên mua",0.0,1.0,0.0,0.0,1.0,1.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   rất thích sản phẩm này",0.0,1.0,0.0,0.0,1.0,1.0,0.0
"đánh giá sơ bộ sản phẩm rất vừa tay nhạy và nhẹ mình rất thích màu sắc của sản phẩm rất đẹp thay đổi liên tục mình vẫn rất tin tưởng vào chất lượng và dịch vụ giao hàng của tiki",1.0,0.0,0.0,1.0,0.0,0.0,1.0
"mình mua về sử dụng bàn phím vẫn ngon lành sau  tuần chuột thì hơi nhẹ chưa quen nhược điểm là đèn không đổi được màubàn phím  và chuột  màu nhưng chỉ có  chế độ đổi màu liên tục không có  màu cố định",0.0,0.0,0.0,1.0,1.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc   tay nhỏ nên cầm chuột bự khó di chuyển ",0.0,0.0,0.0,1.0,1.0,0.0,0.0
"giao hàng sớm hơn dự định chuột sử dụng tốt cực nhạy các phím bấm chỉ cần bấm nhẹ cũng có thể dùng ",1.0,0.0,0.0,0.0,0.0,0.0,1.0
"nhận đc chuột nguyên hộp tuy nhiên ko có dán tem bảo hành làm sao bảo hành vậy tiki",1.0,0.0,0.0,0.0,0.0,0.0,0.0
"sp tot hon mong doi giao hang nhanh",1.0,0.0,0.0,0.0,1.0,0.0,0.0
"chuột nhỏ nhắn chắc chắn cầm vừa tay màu sắc đẹp sắc sảo mới mua nên chuột nhạy trên mặt phẳng màu sáng mình hay kê sách or tập trắng và click cũng rất ăn mình không phải dân kĩ thuật nên các tiêu chí của mình là đẹp bền giá cả phải chăng em chuột này mọi thứ đều ổn giá mềm hơn chút thì thích hơn thích cái nữa là giao chuột còn có luôn  cục pin trong hộp giao hàng luôn về chỉ cần bóc phát xài luôn like cho tiki",0.0,0.0,1.0,1.0,1.0,0.0,0.0
"giao hàng sớm hơn dự định  ngày sản phẩm chất lượng chính hãng",1.0,0.0,0.0,0.0,1.0,0.0,0.0
"không có gì phải bàn mua lúc giảm giá còn gần k giá quá tốt cho con chuột xịn cầm vừa tay đánh dota miễn chê",0.0,0.0,1.0,1.0,1.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   sản phẩm tốt vượt mong đợi",0.0,1.0,0.0,0.0,1.0,1.0,0.0
"sản phẩm thiết kế đẹp bấm êm không có tiếng động thao tác mượt mà",0.0,0.0,0.0,1.0,0.0,0.0,1.0
"chuột click êm kết nối bluetooth nhanh tuỳ biến được các nút trên chuột qua phần mềm rất tiện cho anh em dùng mac thật sự cảm thấy hạnh phúc khi mua chuột  hiu hiu",0.0,0.0,0.0,0.0,1.0,0.0,1.0
"giao hàng khá nhanh hẹn thứ  nhưng thứ  là giao rồi đóng gói cẩn thận đẹp mắt mới cắm vào chuột nhận ngay và đổi màu rất đẹp có nút điều dpi khá tiện lợi cấu tạo chắc chắn nút bấm nhạy nói chung hình thức rất ok hàng logitech thì chất lượng khỏi nói rồi mình mua con m dùng hơn năm nay chưa bị gì mới thay pin có  lần rất đáng mua trong tầm giá",1.0,1.0,1.0,0.0,1.0,0.0,1.0
"tiki giao hàng nhanh đóng gói cận thận chuột dùng rất oke có đèn khá thích mắt chơi game rất thích",1.0,1.0,0.0,0.0,1.0,0.0,0.0
"mua hàng chưa nhận được hàng mà ghi đã thanh toán  chắc là để giá rẻ cho có lệ chứ thật ra ko mua được",1.0,0.0,1.0,0.0,0.0,0.0,0.0
"sản phẩm giống mô tả và tốt hơn mong đợi chất lượng sản phẩm xuất sắc đóng gói hàng rất kỹ và chắc chắn shop phục vụ cực kỳ nhiệt tình   đừng thời gian",1.0,1.0,0.0,0.0,1.0,1.0,0.0
"đóng gói hàng không cẩn thận   ",0.0,1.0,0.0,0.0,0.0,0.0,0.0
"this is the best cheap wireless mouse ive ever used its build quality is excellent and its so quite",0.0,0.0,1.0,0.0,1.0,0.0,0.0
"chuột đẹp xài ổn có điều thiết kế chỗ để đầu usb ngáo quá mỗi lần lấy phải tháo cả pin ra ",0.0,0.0,0.0,1.0,1.0,0.0,0.0
